version:v1.0,,,,,,,,,,,,,,,,,
User name [userPrincipalName] *,Name [displayName] *,Initial password [passwordProfile] *,Block sign in (Yes/No) [accountEnabled] *,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Rex.Vargas@azdummy.onmicrosoft.com,Rex Vargas,"m.U(6!ZQUh,4fpU*4qvI",Yes,Yes,Rex,Vargas,Employee,IT,United States,1366 Harrison Annex,OK,United States,,Oshkosh,19846,978-264-5919,267-904-9769
Sherice.Woodward@azdummy.onmicrosoft.com,Sherice Woodward,6t8RfY);>[R[eOKp2z`l,Yes,Yes,Sherice,Woodward,Employee,Sales,United States,589 Hamlin Manor,VA,United States,,Porterville,62955,737-372-3577,523-792-5200
Albert.Davenport@azdummy.onmicrosoft.com,Albert Davenport,w@\c5wOA`>#E.cQO<~rY,Yes,Yes,Albert,Davenport,Employee,Human Resources,United States,403 Lassen Trace,WY,United States,,El Reno,52763,708-213-3755,723-607-9785
Bulah.Griffith@azdummy.onmicrosoft.com,Bulah Griffith,q*.TaAH|(:yRAC5Bd3Gt,Yes,Yes,Bulah,Griffith,Employee,Human Resources,United States,1101 Barnard Annex,HI,United States,,Southfield,85946,403-068-7526,179-078-1146
Cornell.Lyons@azdummy.onmicrosoft.com,Cornell Lyons,SgOzF9_SN^43jYp$LN7B,Yes,Yes,Cornell,Lyons,Employee,Development,United States,786 Beatrice Turnpike,NV,United States,,Foster City,42541,303-910-6216,844-869-3613
Weldon.Mcdowell@azdummy.onmicrosoft.com,Weldon Mcdowell,"i)?s,\6R.xwjVu}81wNF",Yes,Yes,Weldon,Mcdowell,Employee,Production,United States,303 Delgado Concession road,UT,United States,,Shreveport,32841,009-822-1502,070-822-3726
Frances.Bernard@azdummy.onmicrosoft.com,Frances Bernard,#G\m*bor2{bbYpBR?&#5,Yes,Yes,Frances,Bernard,Employee,Accounting,United States,14 Sheldon Glen,KY,United States,,Tuscaloosa,08830,856-847-3938,735-650-2212
Teresia.Moss@azdummy.onmicrosoft.com,Teresia Moss,lPCczY+^.V}G5|}dpa}L,Yes,Yes,Teresia,Moss,Employee,Supply,United States,929 Felton Stravenue,KS,United States,,Novi,24641,366-406-1757,549-695-0525
Reginia.Pruitt@azdummy.onmicrosoft.com,Reginia Pruitt,")'gN1,>""vd8ANUFRkbH>",Yes,Yes,Reginia,Pruitt,Employee,Customer Service,United States,1219 Eldridge Freeway,NE,United States,,Cedar Park,00076,365-066-8637,608-883-2325
Lino.Ruiz@azdummy.onmicrosoft.com,Lino Ruiz,XGp[[RLI{O9PX#a}2[g2,Yes,Yes,Lino,Ruiz,Employee,Supply,United States,1309 Clara Point,HI,United States,,Norton Shores,90062,006-893-3669,321-902-3031
Donte.Witt@azdummy.onmicrosoft.com,Donte Witt,Lmf5CWj{7{&dQDZ8r%qE,Yes,Yes,Donte,Witt,Employee,Supply,United States,1134 Quintara Bypass,NJ,United States,,Crown Point,97333,354-018-8263,834-833-5041
Joe.Hopper@azdummy.onmicrosoft.com,Joe Hopper,"XK;q~!XaE`0,n/{p2R6o",Yes,Yes,Joe,Hopper,Employee,Legal,United States,743 Minnesota Alley,AL,United States,,Sterling Heights,63137,401-550-2360,853-747-3072
Trinidad.Nelson@azdummy.onmicrosoft.com,Trinidad Nelson,-v*F|L_~\QA&<MrYK8p.,Yes,Yes,Trinidad,Nelson,Employee,Legal,United States,225 Roscoe Alley,NM,United States,,Susanville,04094,642-024-0845,225-480-2708
Lynelle.Jackson@azdummy.onmicrosoft.com,Lynelle Jackson,"5=&}|,S;zz/8}ASPrwG%",Yes,Yes,Lynelle,Jackson,Employee,Accounting,United States,1034 Dewey Crescent,PA,United States,,Bettendorf,39949,662-286-7720,413-140-1934
