version:v1.0,,,,,,,,,,,,,,,,,
User name [userPrincipalName] *,Name [displayName] *,Initial password [passwordProfile] *,Block sign in (Yes/No) [accountEnabled] *,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Antwan.Walsh@azdummy.onmicrosoft.com,Antwan Walsh,zv$[DOnrY?O!')W,Yes,Antwan,Walsh,Employee,Accounting,US,933 Arago Pike,KY,US,,Rio Rancho,00000,820-410-7444,205-403-7098
Rubin.Dixon@azdummy.onmicrosoft.com,Rubin Dixon,8R:d!5Pf!M%#mIM,Yes,Rubin,Dixon,Employee,Supply,US,897 Boyd Parkway,MN,US,,St. Cloud,00000,142-746-6371,432-539-3116
Lucius.Brady@azdummy.onmicrosoft.com,Lucius Brady,0QF?NCJb5)J`='7,Yes,Lucius,Brady,Employee,Marketing,US,837 Donahue Esplanade,NH,US,,Durham,00000,259-065-7980,594-340-2426
Amina.Vance@azdummy.onmicrosoft.com,Amina Vance,e.Q0~A!66!j^@iT,Yes,Amina,Vance,Employee,Sales,US,183 Glenhaven Expressway,IN,US,,Baytown,00000,131-151-6448,409-367-0276
Carlton.Kerr@azdummy.onmicrosoft.com,Carlton Kerr,6[Td%*?w'ZR\Rw3,Yes,Carlton,Kerr,Employee,Marketing,US,927 Lloyd Trail,FL,US,,Machesney Park,00000,132-209-8938,683-860-2544
Robbie.Sweet@azdummy.onmicrosoft.com,Robbie Sweet,Czgczs#*^!z`QG_,Yes,Robbie,Sweet,Employee,Accounting,US,306 Morrell Crescent,TN,US,,Madisonville,00000,701-291-9475,283-359-3360
Arlinda.Herring@azdummy.onmicrosoft.com,Arlinda Herring,_ytlF:&|uCRi*)$,Yes,Arlinda,Herring,Employee,Legal,US,371 Tunnel Circle,OK,US,,Shelton,00000,983-579-7042,594-606-6448
Xenia.Brock@azdummy.onmicrosoft.com,Xenia Brock,_Ciu;w#UNKE5/XQ,Yes,Xenia,Brock,Employee,Sales,US,885 Madrone Parkway,TX,US,,Alpharetta,00000,603-329-0834,790-207-4443
Doloris.Zimmerman@azdummy.onmicrosoft.com,Doloris Zimmerman,"I*QU$;PV<>,^BUr",Yes,Doloris,Zimmerman,Employee,IT,US,1281 Aerial Gate,KS,US,,Pekin,00000,780-446-1914,655-811-2974
Jeffery.Joyce@azdummy.onmicrosoft.com,Jeffery Joyce,nG(c]Rt1lgJ]dg|,Yes,Jeffery,Joyce,Employee,Human Resources,US,989 Turner Viaduct,AK,US,,Ada,00000,728-514-5840,795-624-7781
Odell.Pickett@azdummy.onmicrosoft.com,Odell Pickett,"mm""U'/WCU[bNgQ>",Yes,Odell,Pickett,Employee,Sales,US,1275 Cushman Freeway,IL,US,,Berkeley,00000,473-675-2069,039-132-4305
Thalia.Carlson@azdummy.onmicrosoft.com,Thalia Carlson,GWdMBs-qF\0AY31,Yes,Thalia,Carlson,Employee,Sales,US,395 Ina Esplanade,MO,US,,Sherman,00000,573-709-4494,448-956-5072
Voncile.Tillman@azdummy.onmicrosoft.com,Voncile Tillman,HVPG._[upH=ez/f,Yes,Voncile,Tillman,Employee,Development,US,1183 Lily Nene,PA,US,,Elk River,00000,501-403-6108,959-206-2217
Taisha.Sheppard@azdummy.onmicrosoft.com,Taisha Sheppard,x9%:A^H+zSr&{EL,Yes,Taisha,Sheppard,Employee,Production,US,57 Alta Parade,VT,US,,Covina,00000,381-973-8262,563-764-9508
Son.Stein@azdummy.onmicrosoft.com,Son Stein,"/||ol{_(^~,P%[+",Yes,Son,Stein,Employee,Human Resources,US,344 Turk Murphy Stravenue,MT,US,,Cleveland Heights,00000,705-387-7983,005-764-4547
Andre.Castro@azdummy.onmicrosoft.com,Andre Castro,U0Xq*$wx4*h&fc3,Yes,Andre,Castro,Employee,Marketing,US,1192 Schwerin Close,KY,US,,Wichita Falls,00000,867-276-0733,077-723-1483
